date,actual,forecast
2027-06-22,0,0.06744057
2027-06-23,0,0.06744057
2027-06-24,0,0.06744057
2027-06-25,0,0.06744057
2027-06-26,0,0.06744057
2027-06-27,0,0.06744057
2027-06-28,0,0.06744057
2027-06-29,0,0.06744057
2027-06-30,0,0.06744057
2027-07-01,0,0.06744057
2027-07-02,0,0.06744057
2027-07-03,1,0.06744057
2027-07-04,0,0.06471019
2027-07-05,0,0.06471019
2027-07-06,0,0.06121287
2027-07-07,0,0.06744057
2027-07-08,0,0.06744057
2027-07-09,0,0.06744057
2027-07-10,0,0.06744057
2027-07-11,0,0.06744057
2027-07-12,0,0.06744057
2027-07-13,0,0.06744057
2027-07-14,0,0.06744057
2027-07-15,0,0.06744057
2027-07-16,0,0.06744057
2027-07-17,0,0.06744057
2027-07-18,0,0.06744057
2027-07-19,1,0.06744057
2027-07-20,0,0.06471019
2027-07-21,0,0.06471019
2027-07-22,0,0.06121287
2027-07-23,0,0.06744057
2027-07-24,0,0.06744057
2027-07-25,0,0.06744057
2027-07-26,0,0.06765722
2027-07-27,0,0.06765722
2027-07-28,0,0.06765722
2027-07-29,0,0.06765722
2027-07-30,0,0.06765722
2027-07-31,0,0.06765722
2027-08-01,0,0.06765722
2027-08-02,0,0.06765722
2027-08-03,0,0.06765722
2027-08-04,0,0.06765722
2027-08-05,0,0.06765722
2027-08-06,0,0.06765722
2027-08-07,0,0.06765722
2027-08-08,0,0.06765722
2027-08-09,0,0.06765722
2027-08-10,0,0.06765722
2027-08-11,0,0.06765722
2027-08-12,0,0.06765722
2027-08-13,0,0.06765722
2027-08-14,0,0.06765722
2027-08-15,0,0.06765722
2027-08-16,0,0.06765722
2027-08-17,0,0.06765722
2027-08-18,0,0.06765722
2027-08-19,0,0.06765722
2027-08-20,0,0.06765722
2027-08-21,0,0.067820586
2027-08-22,0,0.06504522
2027-08-23,0,0.06504522
2027-08-24,0,0.06504522
2027-08-25,0,0.071553886
2027-08-26,0,0.071553886
2027-08-27,0,0.071553886
2027-08-28,0,0.071553886
2027-08-29,0,0.071553886
2027-08-30,0,0.071553886
2027-08-31,0,0.071553886
2027-09-01,0,0.07190742
2027-09-02,0,0.08442006
2027-09-03,0,0.08442006
2027-09-04,0,0.08442006
2027-09-05,0,0.08442006
2027-09-06,0,0.08442006
